input,output,evidence,type
cAMP + glucose(low),ALD3(down_strong) + HSP104(down_medium) + SSA4(down_weak) + TPS1(down_strong) + SOD2(down_strong) + TKL2(down_strong) + ARA1(down_medium) + HXK1(down_strong) + SSA3(down_strong) + HOR2(down_strong) + PGM2(down_strong) + GLK1(down_medium) + GDH3(down_strong), 2d-gel,expression
BMH1(ko) + glucose(low) + BMH2(ko),ALD6(up_medium) + ENO1(up_medium) + PCK1(up_medium) + TDH2(up_medium) + FBA1(up_medium) + MDH2(up_medium) + GPM1(up_strong) + TDH3(up_strong) + ADH2(down_medium) + TPI1(up_strong) + ENO2(up_medium) + GUT2(down_medium) + HXK1(down_medium) + TDH1(down_medium) + ICL1(up_medium) + CDC19(up_medium)," MS ,  2d-gel",expression
arsenic + ARR1(ko),CIT1(up_medium) + GUT2(up_medium) + YAT1(up_medium) + IDH1(up_medium) + FAA2(up_strong) + ACO2(down_medium) + PDC6(up_strong) + CAT8(up_medium) + DLD1(up_medium) + HXT2(up_strong) + POT1(up_strong) + CIT2(up_strong) + FOX2(up_medium) + HXK1(up_medium) + HXT4(up_medium) + HXT6(up_strong) + HXT1(up_medium) + SDH4(up_medium) + HXT3(up_medium) + PCK1(down_medium) + MIG1(up_medium) + REG2(up_medium) + HXT5(up_strong) + HAP4(up_medium) + ECI1(up_medium) + JEN1(up_medium) + GLK1(up_strong) + POX1(up_medium) + ACS1(up_medium) + HXT7(up_strong), microarray,expression
selenite + YAP1(ko),CIT2(down_medium) + HXT2(up_medium) + ACO1(up_medium) + HXT6(up_medium) + HXK1(up_medium) + PDC1(up_medium) + GLK1(up_medium) + HXT4(up_medium) + HXT3(up_medium), microarray,expression
calcium,CIT2(up_strong) + MDH1(up_medium) + HXK1(up_strong) + ALD6(up_medium) + ALD4(up_medium), northern_blot,expression
NaCl,CTA1(up_medium) + CAT2(up_medium) + CIT1(up_medium) + PYC1(up_medium) + HXT5(up_strong) + IDH1(up_medium) + STL1(up_strong) + HXT1(up_strong) + GUT2(up_strong) + SDH1(up_medium) + ACO1(up_medium) + MAE1(down_strong) + GLK1(up_strong) + ACO2(down_strong) + YJL045W(up_medium) + REG2(up_medium) + GUT1(down_medium) + IDH2(up_medium) + HXK1(up_medium) + HXT2(down_medium) + FAA4(down_medium) + CYB2(up_medium) + PDC6(up_strong) + POX1(up_medium) + CRC1(up_medium) + SIP4(up_medium), microarray,expression
GCR1(ko) + glycerol + GCR2(ko) + lactate,ENO1(down_strong) + ENO2(down_strong) + PFK2(down_medium) + TPI1(down_strong) + FBA1(down_strong) + PGK1(down_strong) + GPM1(down_strong) + TDH1(down_medium) + CDC19(down_strong) + TDH3(down_strong) + HXK1(down_medium) + TDH2(down_strong) + PFK1(down_weak) + PGI1(down_strong)," kPCR ,  northern_blot ,  prot-act",expression
heat_shock,ENO2(up) + CYB2(up) + SIP4(up) + TYE7(up) + PGK1(up) + HXT5(up) + HXK1(up) + SDH3(up), microarray,expression
SOK2,FAA1 + GID8 + HXT6 + HXK1 + HAP4, ChIP-chip,tfbinding
MSN4 + glucose(low) + MSN2,GDH3(down_medium) + TKL2(down_strong) + GLK1(down_medium) + ARA1(down_medium) + SSA3(down_strong) + HXK1(down_strong) + HSP104(down_medium) + HOR2(down_medium) + SSA4(down_medium) + PGM2(down_medium) + SOD2(down_medium) + TPS1(down_strong) + ALD3(down_strong), 2d-gel,expression
NaCl + CIN5,GID8 + HXT7 + PDC1 + DCI1 + HXK2 + STL1 + PEX25 + HXK1 + HXT1 + ENO1 + HXT6 + HXT4 + ACO1 + MDH2 + FBA1 + DLD1 + HXT2 + PFK27 + MAE1 + PYC2 + TDH2, ChIP-chip,tfbinding
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
sulfur(low),GPM2(down) + TYE7(down) + DLD3(up) + TDH1(down) + MDH2(down) + HXT6(down) + JEN1(down) + HXT7(down) + HXK1(down), microarray,expression
OAF1/PIP2,GRX3 + ATF1 + UGA3 + DUS3 + IFA38 + DCI1 + ECI1 + POT1 + POX1 + SER1 + IZH2 + YJL218W + MDH3 + CRC1 + PXA2 + RIM1 + NNK1 + PEX11 + CIN1 + YAT1 + HXK1 + PIP2 + CIT1 + FAA2 + IDP3 + QDR1 + MIP6 + PEX5 + SAM50 + EEB1 + CUP2 + SPS19 + YNL035C + FOX2 + TPS2 + SPC25 + TES1 + MAL33 + CTA1 + CAT2, consensus,tfbinding
cAMP + nitrogen(low),GUT2(down_strong) + DCS2(down_strong) + DSE2(down_strong) + UGA1(down_strong) + AGP1(down_strong) + SUR1(down_strong) + ICL1(down_strong) + UGA2(down_strong) + FPS1(down_strong) + APE3(down_strong) + PLB2(down_strong) + GLK1(down_strong) + MDH2(down_strong) + APE2(down_strong) + YMR086W(down_strong) + HXK1(down_strong) + YHR033W(down_strong), lacZ,expression
