input,output,evidence,type
glucose(low) + GCR2(ko),ADR1(down_medium) + HXT1(up_weak) + HXT7(down_medium) + MIG1(down_weak) + HXT2(down_medium) + HAP4(down_weak) + DAL7(down_weak) + CAT8(down_medium) + ENO1(down_weak) + MDH2(up_weak) + GLK1(up_weak) + GPM1(down_weak), microarray,expression
rapamycin + GLN3(ko) + GCN4(ko),CIT2(up_medium) + SIP4(down_weak) + CAT2(down_weak) + PDC6(down_medium) + HXT1(up_medium) + CRC1(down_medium) + CTA1(down_weak) + YAT1(down_medium) + CIT3(down_medium) + ACS1(down_weak) + MLS1(down_medium) + YAT2(down_medium) + DAL7(down_medium) + ICL1(down_strong), microarray,expression
rapamycin + GLN3(ko),CIT2(up_medium) + CRC1(down_medium) + CTA1(down_medium) + YAT2(down_weak) + POX1(down_medium) + MLS1(down_weak) + DAL7(down_medium) + PDC6(down_medium) + HXT5(up_medium) + SIP4(down_weak) + ICL1(down_medium) + YAT1(down_weak) + CAT2(down_medium), microarray,expression
allophanate,"DAL2(up) + DAL4(up) + DUR3(up) + DAL7(up) + DUR1,2(up)", author-statement,expression
glucose + asparagine,DAL7(down_strong), northern_blot,expression
glucose + gaba + GLN3(ko),DAL7(down_strong), lacZ,expression
glucose + Proline,DAL7(up), lacZ,expression
GLN3,DAL7, ChIP-chip,tfbinding
SKN7,DAL7 + MDH2 + PCK1 + GID8, ChIP-chip,tfbinding
glucose + DAL80(ko) + Proline,DAL7(up_medium), lacZ,expression
glucose + asparagine,DAL7(down_strong), lacZ,expression
DAL81(ko) + Proline + allophanate,DAL7(down_strong), northern_blot,expression
glucose + allophanate + Proline,DAL7(up_strong), lacZ,expression
DAL82,DAL7 + PDC5, ChIP-chip,tfbinding
Proline + allophanate,DAL7(up_strong), northern_blot,expression
YAP7,DAL7 + TDH1, ChIP-chip,tfbinding
nitrogen(low),DAL7(up) + HXT2(down) + PDC5(up) + MLS1(up), microarray,expression
GLN3(ko) + Proline,DAL7(down_strong)," northern_blot ,  microarray",expression
glutamine,DAL7(down_strong), northern_blot,expression
DAL81,DAL7 + GID8 + MDH2 + ACO1, ChIP-chip,tfbinding
glucose + Proline,DAL7(up_strong), northern_blot,expression
asparagine,DAL7(down_strong), northern_blot,expression
allophanate + GLN3,"DAL7(up_strong) + DAL5(up_strong) + DUR1,2(up_strong) + URA3(up_strong) + CAR1(up_strong)"," lacZ ,  northern_blot",expression
LEU3(ko) + Ammonia(low),DAL7(up), microarray,expression
asparagine + DAL80(ko),DAL7(up_strong), northern_blot,expression
GLN3(ko) + Proline,DAL7(down_strong), northern_blot,expression
glutamine,DAL7(down_strong)," microarray ,  northern_blot",expression
DAL80(ko) + Proline,DAL7(up_strong)," northern_blot ,  microarray",expression
DAL80,DAL7 + DAL3, emsa,tfbinding
DAL82,"DUR1,2 + DUR3 + DAL2 + DAL4 + DAL7", binding,tfbinding
