input,output,evidence,type
ABF1,ACS1 + IDH1 + MLS1 + ANT1 + FBA1 + IDP2 + LPD1 + MAE1, ChIP-chip,tfbinding
glucose,FBA1(up_weak) + PFK2(up_medium) + PDC1(up_weak) + ENO1(up_medium) + ENO2(up_medium) + ADH1(up_weak) + CDC19(up_medium) + TPI1(up_weak) + LPD1(down_medium) + PGK1(up_weak) + PGM1(up_medium) + PFK1(up_weak)," lacZ ,  northern_blot",expression
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
ABF1,HXK2 + YAT1 + GID8 + CAT8 + PGI1 + MLS1 + ADR1 + FOX2 + FAA1 + FUM1 + HXT2 + ANT1 + IDH1 + ACS1 + JEN1 + LPD1 + FBA1, ChIP-chip,tfbinding
NaCl,HXT2(down) + LSC1(up) + GLK1(up) + ACO2(down) + SDH4(up) + HXK1(up) + MDH2(up) + IDH2(up) + DLD1(up) + HAP1(up) + LPD1(up) + CIT1(up) + LSC2(up) + IDH1(up) + FAA4(down) + PYC1(up) + PDC5(down) + FAA1(up) + PEX25(up) + HXT1(up) + GUT2(up) + MAE1(down) + MDH1(up) + KGD2(up) + KGD1(up) + CIT2(up) + ADH2(down) + HXT6(up) + PYC2(down) + SDH3(up) + REG2(down) + HXT5(up), microarray,expression
CBF1,IDH1 + IDP2 + PFK27 + LPD1 + SFC1 + TDH2 + ACS1, ChIP-chip,tfbinding
CBF1,IDH1 + IDP2 + LPD1 + TDH2, ChIP-chip,tfbinding
glycerol + glucose + lactate,KGD2(down_strong) + CIT1(down_medium) + IDP2(down_strong) + ACO1(down_strong) + FUM1(down_strong) + GUT2(down_strong) + MDH1(down_strong) + GUT1(down_strong) + KGD1(down_strong) + IDP1(down_medium) + PDC1(up_medium) + SDH4(down_strong) + YJL045W(down_medium) + SDH2(down_strong) + LSC1(down_strong) + LPD1(down_weak) + SDH1(down_strong) + CIT3(down_weak) + SDH3(down_strong) + CYB2(down_strong) + LSC2(down_strong) + IDH2(down_strong) + JEN1(down_strong) + ACO2(up_weak), microarray,expression
GCN4(ko) + aa_starvation,LPD1(down_weak)," northern_blot ,  prot",expression
aa_starvation,LPD1(up_weak)," prot ,  northern_blot",expression
GCN4 + aa_starvation,LPD1," emsa ,  consensus ,  site-mutation",tfbinding
HAP2/3/4/5(ko) + nfcs,LPD1(down_strong)," lacZ ,  prot-act",expression
nfcs + HAP2/3/4/5,LPD1," site-mutation ,  consensus",tfbinding
lactate,PGK1(down_weak) + LPD1(up_medium) + PGM1(down_medium) + ADH1(down_weak) + PDC1(down_weak) + FBA1(down_weak) + ENO1(down_medium) + CDC19(down_medium) + PFK1(down_weak) + ENO2(down_medium) + PFK2(down_medium) + TPI1(down_weak)," lacZ ,  northern_blot",expression
