input,output,evidence,type
GCR2(ko) + glucose,ADH2(down_medium) + ENO1(down_medium) + CYB2(up_medium) + CIT1(up_medium) + ADH1(down_medium) + HXT2(up_strong) + PFK1(down_medium) + NDI1(up_medium) + CDC19(down_strong) + ENO2(down_strong) + SDH4(up_medium) + FBP1(up_medium) + GPM1(down_strong) + ACO1(up_medium) + PGI1(down_medium) + SDH2(up_medium) + SDH3(up_medium) + HXT3(down_medium) + HXT7(down_medium) + PGK1(down_strong) + HXT1(down_medium) + DLD3(up_medium) + CIT2(up_medium) + FBA1(down_medium) + HXT6(down_medium) + GLK1(up_strong) + HXK2(down_medium), microarray,expression
GCR1,CDC19 + PGK1 + ENO1 + ADH1, emsa,tfbinding
galactose + GCR1(ko),CIT1(up_weak) + TDH2(down_weak) + GLK1(up_weak) + CDC19(down_medium) + TDH1(down_weak) + FBA1(down_weak) + GPM1(down_strong) + CIT3(up_weak) + FAA1(up_weak) + TPI1(down_medium) + PGK1(down_medium) + ENO2(down_strong) + TDH3(down_medium) + ENO1(down_strong) + ADH1(down_medium) + CIT2(up_strong), microarray,expression
GCR1(ko) + glucose,ENO1(down_strong) + TDH1(down_strong) + PGK1(down_strong) + PGM1(down_strong) + TPI1(down_strong) + TDH2(down_strong) + TDH3(down_strong) + CDC19(down_strong) + ENO2(down_strong), northern_blot,expression
GCR1(ko) + glycerol + GCR2(ko) + lactate,ENO1(down_strong) + ENO2(down_strong) + PFK2(down_medium) + TPI1(down_strong) + FBA1(down_strong) + PGK1(down_strong) + GPM1(down_strong) + TDH1(down_medium) + CDC19(down_strong) + TDH3(down_strong) + HXK1(down_medium) + TDH2(down_strong) + PFK1(down_weak) + PGI1(down_strong)," kPCR ,  northern_blot ,  prot-act",expression
heat_shock,ENO2(up) + CYB2(up) + SIP4(up) + TYE7(up) + PGK1(up) + HXT5(up) + HXK1(up) + SDH3(up), microarray,expression
glucose + GCR1(ko) + TYE7(oe),ENO2(up_weak) + TPI1(up_weak) + PGK1(up_medium) + TDH1(up_weak) + PGM1(up_strong) + TDH3(up_weak) + TDH2(up_weak) + CDC19(up_strong) + ENO1(up_strong), northern_blot,expression
GCR1(ko) + glucose,FBA1(down_weak) + ADH1(down_medium) + FAA1(up_strong) + CDC19(down_medium) + ENO1(down_strong) + TDH1(down_weak) + GLK1(up_strong) + CIT2(up_strong) + TDH3(down_medium) + PGK1(down_medium) + ENO2(down_strong) + CIT1(up_strong) + TPI1(down_medium) + TDH2(down_weak) + CIT3(up_strong) + GPM1(down_strong), microarray,expression
raffinose + GCR1(ko),FBA1(down_weak) + CDC19(down_medium) + GLK1(up_weak) + PGK1(down_medium) + TDH1(down_weak) + TDH2(down_weak) + CIT2(up_weak) + ENO2(down_strong) + ADH1(down_medium) + GPM1(down_strong) + TPI1(down_medium) + TDH3(down_medium) + FAA1(up_weak) + CIT1(up_weak) + ENO1(down_strong) + CIT3(up_strong), microarray,expression
glucose + GCR1(ko) + lactate + glycerol,FBA1(down_medium) + GPM1(down_strong) + TDH1(up_medium) + PGK1(down_weak) + PGI1(down_weak) + TDH2(down_weak) + CDC19(down_weak) + ENO1(down_medium) + ENO2(down_strong) + TPI1(down_strong) + TDH3(down_medium) + GCR1(down_strong), microarray,expression
