input,output,evidence,type
CNB1(ko) + calcium,ALD4(down_medium) + ALD6(down_medium), northern_blot,expression
high_pH + CRZ1(ko),ALD4(down_weak) + ALD6(down_weak), northern_blot,expression
STB5 + ox_stress,ALD6 + PEX25 + IDP2 + MIG2 + PXA1 + PGI1 + ALD4, ChIP-chip,tfbinding
glucose + CAD1(ko),ALD6(up_medium) + HXT5(up_medium), microarray,expression
CNB1(ko) + high_pH,ALD6(down_weak) + ALD4(down_weak), northern_blot,expression
BMH1(ko) + glucose(low) + BMH2(ko),ALD6(up_medium) + ENO1(up_medium) + PCK1(up_medium) + TDH2(up_medium) + FBA1(up_medium) + MDH2(up_medium) + GPM1(up_strong) + TDH3(up_strong) + ADH2(down_medium) + TPI1(up_strong) + ENO2(up_medium) + GUT2(down_medium) + HXK1(down_medium) + TDH1(down_medium) + ICL1(up_medium) + CDC19(up_medium)," MS ,  2d-gel",expression
CRZ1(ko) + calcium,ALD6(down_medium) + ALD4(down_medium), northern_blot,expression
calcium,CIT2(up_strong) + MDH1(up_medium) + HXK1(up_strong) + ALD6(up_medium) + ALD4(up_medium), northern_blot,expression
cAMP + glucose(low),GPD1(down_strong) + KGD2(down_medium) + ALD6(down_medium) + ADH2(down_strong) + ICL1(down_strong), 2d-gel,expression
osmotic_shock,HXK2(down_medium) + ALD6(down_medium) + DAK1(up_medium) + ENO2(down_medium) + PDC1(down_medium) + GPD1(up_medium) + HOR2(up_medium) + FBA1(down_medium) + ENO1(up_medium), 2d-gel,expression
MSN4(ko) + glucose(low) + MSN2(ko),ICL1(up_medium) + ADH2(up_medium) + ALD6(up_medium) + GPD1(down_weak) + KGD2(up_weak), 2d-gel,expression
glucose + RPN4(ko),JEN1(up_medium) + ALD6(up_medium) + NRG1(down_medium) + CYB2(up_medium) + PDC6(up_medium) + STL1(down_medium) + MAE1(down_medium), microarray,expression
high_pH,MDH1(up_medium) + CIT2(up_strong) + HXT7(up_strong) + ALD4(up_medium) + HXK1(up_strong) + ALD6(up_medium), northern_blot,expression
STB5(ko) + ox_stress,PEX25(down_strong) + ALD4(down_strong) + PXA1(up_strong) + IDP2(down_strong) + ALD6(down_strong) + PGI1(up_strong) + MIG2(down_strong), microarray,expression
ethanol + CAT8(ko),REG2(down_medium) + IDP2(down_strong) + MDH2(down_medium) + JEN1(down_strong) + ICL1(down_strong) + DLD1(down_medium) + CRC1(down_strong) + PCK1(down_strong) + ALD6(down_strong) + SFC1(down_strong) + FBP1(down_strong) + STL1(down_medium) + YAT2(down_strong) + ACS1(down_strong) + DAL81(down_medium) + MLS1(down_strong) + CAT2(down_medium) + SIP4(down_strong) + ACH1(down_medium)," microarray ,  northern_blot ,  proteomics",expression
CAT8 + gluc_depl,SFC1 + FBP1 + CAT2 + ACS1 + YAT2 + ADH2 + MDH2 + ICL1 + MLS1 + ALD6 + DLD1 + ACH1 + JEN1 + PCK1 + REG2 + IDP2, ChIP-chip,tfbinding
glucose + YAP1(ko),STL1(down_medium) + HXT2(up_medium) + ALD6(up_medium), microarray,expression
