input,output,evidence,type
BMH1(ko) + glucose(low) + BMH2(ko),ALD6(up_medium) + ENO1(up_medium) + PCK1(up_medium) + TDH2(up_medium) + FBA1(up_medium) + MDH2(up_medium) + GPM1(up_strong) + TDH3(up_strong) + ADH2(down_medium) + TPI1(up_strong) + ENO2(up_medium) + GUT2(down_medium) + HXK1(down_medium) + TDH1(down_medium) + ICL1(up_medium) + CDC19(up_medium)," MS ,  2d-gel",expression
galactose + GCR1(ko),CIT1(up_weak) + TDH2(down_weak) + GLK1(up_weak) + CDC19(down_medium) + TDH1(down_weak) + FBA1(down_weak) + GPM1(down_strong) + CIT3(up_weak) + FAA1(up_weak) + TPI1(down_medium) + PGK1(down_medium) + ENO2(down_strong) + TDH3(down_medium) + ENO1(down_strong) + ADH1(down_medium) + CIT2(up_strong), microarray,expression
MSN2,CTA1 + TDH3 + GPM1 + TPI1 + FBA1 + MDH1 + GID8, ChIP-chip,tfbinding
GCR1(ko) + glucose,ENO1(down_strong) + TDH1(down_strong) + PGK1(down_strong) + PGM1(down_strong) + TPI1(down_strong) + TDH2(down_strong) + TDH3(down_strong) + CDC19(down_strong) + ENO2(down_strong), northern_blot,expression
GCR1(ko) + glycerol + GCR2(ko) + lactate,ENO1(down_strong) + ENO2(down_strong) + PFK2(down_medium) + TPI1(down_strong) + FBA1(down_strong) + PGK1(down_strong) + GPM1(down_strong) + TDH1(down_medium) + CDC19(down_strong) + TDH3(down_strong) + HXK1(down_medium) + TDH2(down_strong) + PFK1(down_weak) + PGI1(down_strong)," kPCR ,  northern_blot ,  prot-act",expression
glucose + GCR1(ko) + TYE7(oe),ENO2(up_weak) + TPI1(up_weak) + PGK1(up_medium) + TDH1(up_weak) + PGM1(up_strong) + TDH3(up_weak) + TDH2(up_weak) + CDC19(up_strong) + ENO1(up_strong), northern_blot,expression
CIN5,FAA4 + HXT6 + ACO1 + FAA1 + PDC1 + HXT3 + TDH3 + HXK2, ChIP-chip,tfbinding
RAP1,FBA1 + GPM1 + HXT5 + ACS1 + PGI1 + SIP4 + TDH3 + HAP5 + PFK27 + PDC1 + CRC1 + FAA1, ChIP-chip,tfbinding
GCR1(ko) + glucose,FBA1(down_weak) + ADH1(down_medium) + FAA1(up_strong) + CDC19(down_medium) + ENO1(down_strong) + TDH1(down_weak) + GLK1(up_strong) + CIT2(up_strong) + TDH3(down_medium) + PGK1(down_medium) + ENO2(down_strong) + CIT1(up_strong) + TPI1(down_medium) + TDH2(down_weak) + CIT3(up_strong) + GPM1(down_strong), microarray,expression
raffinose + GCR1(ko),FBA1(down_weak) + CDC19(down_medium) + GLK1(up_weak) + PGK1(down_medium) + TDH1(down_weak) + TDH2(down_weak) + CIT2(up_weak) + ENO2(down_strong) + ADH1(down_medium) + GPM1(down_strong) + TPI1(down_medium) + TDH3(down_medium) + FAA1(up_weak) + CIT1(up_weak) + ENO1(down_strong) + CIT3(up_strong), microarray,expression
PHO2,FBA1 + TDH3, ChIP-chip,tfbinding
glucose + GCR1(ko) + lactate + glycerol,FBA1(down_medium) + GPM1(down_strong) + TDH1(up_medium) + PGK1(down_weak) + PGI1(down_weak) + TDH2(down_weak) + CDC19(down_weak) + ENO1(down_medium) + ENO2(down_strong) + TPI1(down_strong) + TDH3(down_medium) + GCR1(down_strong), microarray,expression
GCR1,GPM1 + TPI1 + SPS19 + PGI1 + PDC1 + TDH3, ChIP-chip,tfbinding
GCR2,GPM1 + ENO2 + TDH2 + TDH3 + PGI1 + PYC1 + FBA1 + PDC1, ChIP-chip,tfbinding
glucose(low),GUT2(up) + FAA2(up) + PFK27(down) + TDH3(down) + SPS19(up) + CAT2(up) + SIP2(up) + MDH2(up) + TES1(up) + PEX1(up) + ECI1(up) + ADR1(up) + FOX2(up) + ICL2(up) + STL1(up) + GUT1(up) + MIG2(down) + SIP4(up) + DCI1(up) + HXK1(up) + PFK26(up) + CAT8(up) + HXT4(down) + IDP3(up) + ACS1(up) + CYB2(up) + CRC1(up) + MSN4(down) + HXT2(up) + PXA1(up) + ICL1(up), microarray,expression
RAP1,HAP1 + OAF1 + TDH3 + CRC1 + TYE7 + HSF1 + RAP1 + PFK27 + ENO1 + ENO2 + ADH1 + GCN4 + HXT5 + GPM2 + SIP4 + CAT5 + ADH3 + CDC19 + PGI1 + PDC1 + HAP3 + GPM1 + SNF4 + TDH2 + PEX6, ChIP-chip,tfbinding
GCR2(ko) + lactate + glycerol,HXK1(down_weak) + PFK2(down_weak) + ENO1(down_strong) + TDH3(down_strong) + CDC19(down_strong) + TPI1(down_strong) + TDH1(down_medium) + PGI1(down_strong) + TDH2(down_strong) + FBA1(down_strong) + GPM1(down_strong) + ENO2(down_strong) + PGK1(down_strong)," prot-act ,  kPCR ,  northern_blot",expression
lactate + glycerol + GCR1(ko),HXK1(down_medium) + CDC19(down_strong) + PGK1(down_strong) + FBA1(down_strong) + GPM1(down_strong) + TDH1(down_medium) + ENO1(down_strong) + PFK2(down_weak) + TDH3(down_strong) + PGI1(down_strong) + TDH2(down_strong) + TPI1(down_strong) + PFK1(down_weak) + ENO2(down_strong)," northern_blot ,  prot-act ,  kPCR",expression
RAP1 + glucose,HXT1 + FBA1 + ENO1 + SIP4 + HAP1 + YAT1 + PGK1 + GUT1 + TDH3 + GLK1 + MAE1 + PDC1 + YJL045W + PGI1 + OAF1 + HXT5 + FAA1 + DLD1 + TPI1 + GID8 + PFK27 + CRC1 + HAP5 + GPM1 + IDP2, ChIP-chip,tfbinding
CIN5,HXT6 + FAA4 + HXT3 + HXK2 + TDH3 + ACO1, ChIP-chip,tfbinding
MSN4,MDH1 + TDH3, ChIP-chip,tfbinding
GCR2,PGI1 + TDH3 + GPM1 + TDH2 + FBA1, ChIP-chip,tfbinding
glycerol + lactate + GCR1(ko),PGK1(down_medium) + PGI1(down_medium) + ENO2(down_strong) + TDH3(down_strong) + TDH1(down_strong) + GPM1(down_strong) + TPI1(down_strong) + ENO1(down_strong) + FBA1(down_medium) + CDC19(down_strong) + GCR1(down_medium) + TDH2(down_strong), microarray,expression
NaCl + SKN7,PGK1 + HXT6 + HAP4 + PCK1 + TDH3 + CIT1 + POX1 + MDH2 + GID8 + HXK1 + SDH1 + ACO1 + STL1 + PFK27, ChIP-chip,tfbinding
oleic_acid,PGK1(down_weak) + ENO2(down_medium) + TDH2(down_weak) + DCI1(up_strong) + HXT2(down_medium) + HXT5(down_weak) + TDH3(down_medium) + FAA4(down_medium) + CRC1(up_weak) + PEX11(up_medium) + SPS19(up_strong) + TPI1(down_weak) + FAA2(up_strong) + PEX25(up_weak) + FOX2(up_strong) + PDC5(down_medium) + ENO1(down_medium) + TES1(up_strong) + MDH3(up_weak) + FBA1(down_weak) + POT1(up_weak) + YJL045W(down_medium) + CAT2(up_weak) + PDC1(down_medium) + TDH1(down_medium) + ECI1(up_strong) + YAT1(down_weak) + PXA2(up_medium) + CTA1(up_strong) + IDP3(up_medium) + POX1(up_strong) + PIP2(up_medium), microarray,expression
glucose,TDH1(up_medium) + TDH3(up_medium) + TDH2(up_medium)," 2d-gel ,  prot-act",expression
GCR2(ko) + lactate + glycerol,TDH2(down_medium) + GPM1(down_strong) + FBA1(down_strong) + GUT2(down_medium) + IDH1(down_medium) + PGI1(down_strong) + TDH3(down_medium) + ENO1(down_strong) + TDH1(down_strong) + ENO2(down_strong) + IDH2(down_medium) + TPI1(down_strong) + PFK2(down_medium) + CDC19(down_strong) + PGK1(down_strong), microarray,expression
RAP1,TDH2 + MDH2 + PFK27 + HXK1 + YJL045W + FBA1 + ACS1 + HXT5 + HAP5 + PEX25 + HXT6 + SIP4 + CRC1 + PDC1 + YAT1 + TPI1 + GUT1 + GPM1 + MAE1 + TDH3, ChIP-chip,tfbinding
sugar + RAP1 + GCR1,TDH3(up_strong), Expression evidence,expression
GCR1,TDH3 + PDC1 + PGI1, ChIP-chip,tfbinding
nfcs + GCR1 + RAP1,TDH3(up_strong), Expression evidence,expression
glycerol + lactate + GCR1(ko),TDH3(down_strong) + TDH1(down_strong) + ENO2(down_strong) + ENO1(down_strong) + TDH2(down_strong)," northern_blot ,  western_blot",expression
TYE7,TDH3 + FBA1 + TDH2, ChIP-chip,tfbinding
