input,output,evidence,type
ADR1 + gluc_depl,ALD4 + LSC2 + POT1 + CTA1 + JEN1 + FOX2 + CIT3 + ACS1 + GUT1 + ICL2 + GUT2 + ADH2 + CYB2, ChIP-chip,tfbinding
CNB1(ko) + calcium,ALD4(down_medium) + ALD6(down_medium), northern_blot,expression
high_pH + CRZ1(ko),ALD4(down_weak) + ALD6(down_weak), northern_blot,expression
glucose(low) + HAP2/3/4/5(ko),ALD4(down_weak) + ADH2(down_strong) + MIG2(down_medium) + IDP3(down_medium) + POX1(down_medium) + ICL1(down_medium) + FBP1(down_weak) + MAE1(up_medium) + FAA1(down_medium), microarray,expression
STB5 + ox_stress,ALD6 + PEX25 + IDP2 + MIG2 + PXA1 + PGI1 + ALD4, ChIP-chip,tfbinding
CNB1(ko) + high_pH,ALD6(down_weak) + ALD4(down_weak), northern_blot,expression
CRZ1(ko) + calcium,ALD6(down_medium) + ALD4(down_medium), northern_blot,expression
CRZ1 + high_pH,CIT1 + MDH2 + ALD4 + HXK2 + HXT7 + MDH1, emsa,tfbinding
calcium,CIT2(up_strong) + MDH1(up_medium) + HXK1(up_strong) + ALD6(up_medium) + ALD4(up_medium), northern_blot,expression
ADR1,CIT3 + POX1 + ALD4 + ACS1 + CTA1 + POT1 + GUT1 + ADH2 + ICL2, ChIP,tfbinding
glucose(low) + CAT8(ko),FBP1(down_strong) + ICL1(down_strong) + FOX2(down_weak) + POT1(up_medium) + ALD4(up_weak) + ADY2(down_strong) + POX1(down_medium) + ADH2(down_strong) + ATO3(down_strong) + JEN1(down_medium) + FDH1(down_medium) + CYB2(up_weak) + CTA1(up_medium) + MDH2(down_strong) + ACS1(down_strong) + MLS1(down_strong) + SPS19(down_weak) + SPG1(up_medium), kPCR,expression
gluc_depl + ADR1(ko),FOX2(down_strong) + DCI1(down_medium) + POX1(down_strong) + SPS19(down_strong) + CTA1(down_strong) + CYB2(down_medium) + ADH2(down_strong) + GUT2(down_medium) + POT1(down_strong) + ALD4 + ICL2(down_strong) + CIT3(down_strong) + PXA1(down_medium) + ACS1(down_strong) + GUT1(down_medium) + IDP3(down_strong) + PEX11(down_medium), microarray,expression
glucose + HXK2(ko),ICL1(up_strong) + HXT6(up_strong) + MAE1(down_medium) + SDH3(up_medium) + HXT1(down_strong) + HXT5(up_medium) + MDH2(up_medium) + PCK1(up_medium) + ALD4(up_medium) + HXK1(up_strong) + HXK2(down_strong) + MDH1(up_medium) + PDC5(down_medium) + IDP2(up_strong) + CIT1(up_medium) + HXT7(up_strong) + CIT3(up_medium) + MLS1(up_strong) + KGD2(up_medium) + SDH4(up_strong) + MDH3(up_medium) + FBP1(up_strong) + SDH2(up_medium) + HXT4(up_strong) + LSC2(up_medium) + SDH1(up_medium), microarray,expression
high_pH,MDH1(up_medium) + CIT2(up_strong) + HXT7(up_strong) + ALD4(up_medium) + HXK1(up_strong) + ALD6(up_medium), northern_blot,expression
glucose(low) + CAT8(ko) + ADR1(ko),MDH2(down_strong) + MLS1(down_strong) + FBP1(down_strong) + ADY2(down_strong) + ADH2(down_strong) + ACS1(down_strong) + ALD4(down_medium) + POT1(up_weak) + FDH1(down_strong) + CTA1(up_weak) + POX1(down_strong) + FOX2(down_strong) + ATO3(down_strong) + ICL1(down_strong) + JEN1(down_strong) + CYB2(down_weak) + SPG1(up_weak) + SPS19(down_medium), kPCR,expression
CRZ1 + calcium,MDH2 + ALD4 + MDH1 + CIT1 + HXK2, emsa,tfbinding
STB5(ko) + ox_stress,PEX25(down_strong) + ALD4(down_strong) + PXA1(up_strong) + IDP2(down_strong) + ALD6(down_strong) + PGI1(up_strong) + MIG2(down_strong), microarray,expression
HXK2(ko) + glucose + HAP4(oe),SDH4(up_strong) + IDH1(up_medium) + HXT1(down_strong) + HXK2(down_strong) + SDH1(up_medium) + ACS1(up_strong) + MDH1(up_medium) + MDH2(up_strong) + CIT1(up_medium) + TDH1(down_medium) + IDP2(up_strong) + CAT2(up_strong) + CIT3(up_strong) + PFK1(down_medium) + ALD4(up_strong) + SDH2(up_strong) + HXK1(up_medium) + FBP1(up_strong) + PDC5(down_medium) + GLK1(up_medium) + HXT7(up_strong) + ADH2(up_strong) + MDH3(up_medium) + ENO1(down_strong) + MLS1(up_strong) + FUM1(up_strong) + HXT4(up_medium) + HXT5(up_strong) + SDH3(up_medium) + KGD2(up_medium) + PFK2(down_medium) + LSC2(up_medium) + HXT6(up_strong) + ICL1(up_strong) + PCK1(up_strong), microarray,expression
glucose(low) + ADR1(ko),SPS19(down_strong) + FDH1(down_strong) + FOX2(down_medium) + SPG1(down_medium) + CTA1(down_weak) + FBP1(down_weak) + ADY2(down_strong) + POX1(down_strong) + ALD4(down_medium) + ACS1(down_medium) + ADH2(down_strong) + MDH2(up_weak) + CYB2(down_medium) + MLS1(up_medium) + JEN1(down_weak) + ATO3(down_strong) + POT1(down_medium), kPCR,expression
