Name	pres 0	phos 0	spec_activation_left	pres 1	phos 1	spec_activation_right	pres 2	phos 2	spec_activation_left_1	pres 3	phos 3	spec_activation_right_1	pres 4	phos 4	spec_activation_left_2	pres 5	phos 5	spec_activation_right_2	pres 6	phos 6	spec_activation_left_3	pres 7	phos 7	spec_activation_right_3
EGO	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Tor1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tor2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kog1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Tco89	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Lst8	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
TORC1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sch9	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Sfp1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Tap42	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0
PP2A	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Mks1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0
Rgt2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Rtg1,3	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0
Gln3	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0
Gat1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0
