mets	metNames	resp_unreg	resp_reg	ferm_unreg	ferm_reg	FC_resp	FC_ferm	FC_reg	FC_unreg
MAL[m]	(S)-malate	0.747106559002713	0.82777371693125	0.59598586329379	0.394715087673138	1.10797276098903	0.662289346078943	0.476839357906216	0.797725379481812
AKG[m]	2-oxoglutarate	0.732989159002714	0.813656316931233	0.652396473440892	0.445469087238903	1.11005232060768	0.682819581916798	0.547490479664712	0.890049280303853
P2G[c]	2-phospho-D-glyceric acid	1.45604777021011	1.53671750181998	18.6305175728768	19.8208509193471	1.05540321771052	1.06389158764989	12.8981747756973	12.7952653436559
P3G[c]	3-phospho-D-glycerate	1.45604777021011	1.53671750181998	18.6305175728768	19.8208509193471	1.05540321771053	1.06389158764989	12.8981747756973	12.7952653436559
P13G[c]	1,3-bisphospho-D-glycerate	1.47654047021011	1.55721020181998	18.7124883728768	19.9028217193471	1.05463428415098	1.06361170800756	12.7810758599486	12.673197078177
G15L[c]	6-O-phosphono-D-glucono-1,5-lactone	0.275195547196303	0.2999455	0.75979	0.856957790950844	1.08993587670967	1.12788769390337	2.85704499967775	2.76090949777622
P6G[c]	6-phospho-D-gluconate	0.275195547196303	0.2999455	0.75979	0.856957790950844	1.08993587670967	1.12788769390337	2.85704499967775	2.76090949777622
ACA[c]	acetaldehyde	0.0494999056073953	0.263408476046691	15.2853263821094	16.6797588094911	5.32139350195717	1.09122686637649	63.3227869498567	308.795061213722
AC[c]	acetate	0.0494999056073953	0.26340847604669	0.879984000000001	0.879984	5.32139350195715	0.999999999999999	3.34075810014564	17.7774884457257
ACCOA[c]	acetyl-CoA	0.0494960000000005	0.263401996757945	0.197984	0.197984	5.32168249470539	1	0.751641986153732	3.99999999999991
ACCOA[m]	acetyl-CoA	0.946281959002715	1.02694911693123	1.39268746329379	1.19141668767314	1.08524642910189	0.855480299115615	1.16015162585014	1.4717468192689
ADP[c]	ADP	8.22985136698906	9.10230852375722	44.7979615387504	46.1268493261991	1.10601128961669	1.02966402358061	5.06759897292066	5.44335001218132
GLC[c]	alpha-D-glucose	1.09836833297108	1.14695319090999	10.7398045464384	11.3552908514987	1.04423366595747	1.05730889257798	9.90039605931034	9.77796265974569
G6P[c]	alpha-D-glucose 6-phosphate	1.0983683329711	1.14695319090999	10.7398045464384	11.3552908514987	1.04423366595745	1.05730889257798	9.90039605931037	9.77796265974553
ATP[c]	ATP	8.22985136698906	9.10230852375722	44.7979615387504	46.1268493261991	1.10601128961669	1.02966402358061	5.06759897292066	5.44335001218132
AMP[c]	AMP	0.0494960000000001	0.263401996757947	0.197983999999995	0.197983999999998	5.32168249470547	1.00000000000002	0.751641986153719	3.99999999999983
F16P[c]	D-fructose 1,6-bisphosphate	0.724412087239004	0.883322104790784	9.35764362643838	9.99696127838179	1.21936411657271	1.06832036754821	11.3174585172977	12.9175696972475
F6P[c]	D-fructose 6-phosphate	0.805202087239003	0.964112104790782	9.68080362643838	10.3201212783818	1.19735420470242	1.06603972940815	10.7042751844935	12.0228248036879
BIOMASS[c]	biomass	0.0999999999999995	0.0999999999999995	0.4	0.4	1	1	3.99999999999998	3.99999999999998
CI[m]	citrate	0.747106559002713	0.827773716931232	0.652425968367341	0.44832688745602	1.10797276098901	0.687168980379387	0.541605608254973	0.873270299270618
CO2[c]	CO2	2.98394588981184	3.36927503396324	19.730557432285	20.6454881704607	1.12913409236643	1.04637125642881	6.12757580261284	6.61223700458225
CO2[m]	CO2	2.39814287700814	2.42623835403575	2.64101081017557	2.02588526215094	1.01171551424103	0.767087076790975	0.834990205632983	1.10127333758797
COA[c]	coenzyme A	0.0494960000000005	0.263401996757945	0.197984	0.197984	5.32168249470539	1	0.751641986153732	3.99999999999991
COA[m]	coenzyme A	1.66515371800543	1.82648803386247	1.98861433673468	1.58041617491204	1.09688854194812	0.794732365003008	0.865275953420808	1.19425270786213
E4P[c]	D-erythrose 4-phosphate	0.0911265157320998	0.0993764999999985	0.250841999999999	0.28323126365028	1.09053330089074	1.12912217112876	2.85008290340556	2.75267849302436
GA3P[c]	D-glyceraldehyde 3-phosphate	1.59892398594221	1.68784370181997	19.0883583728768	20.3110809829974	1.0556122221316	1.06405593326758	12.0337451631904	11.9382525627874
R5P[c]	D-ribose 5-phosphate	0.1179058757321	0.12615586	0.357959439999999	0.39034870365028	1.06997093415976	1.09048305486868	3.09417813528662	3.0359762630773
RU5P[c]	D-ribulose 5-phosphate	0.270475107196302	0.295225059999999	0.740908239999999	0.838076030950843	1.09150547368388	1.13114686233054	2.83876995723481	2.73928439359956
X5P[c]	D-xylulose 5-phosphate	0.1525692314642	0.169069199999999	0.382948799999998	0.447727327300561	1.10814741856827	1.16915714920784	2.64818977850822	2.51000019024055
ETH[c]	ethanol	5e-16	5e-16	14.4053423821094	15.7997748094911	1	1.09679967267654	1.05331832063274e+16	9.60356158807293e+15
FUM[m]	fumarate	0.732989159002714	0.813656316931267	0.595956368367341	0.39185728745602	1.11005232060772	0.657526806080683	0.481600498025904	0.813049362391913
GP[c]	glycerol-3-phosphate	1e-15	0.00825	1e-15	0.00825	4125000000000.5	4125000000000.5	1	1
GLY[c]	glycerol	5e-16	0.0082499999999995	5e-16	0.0082499999999995	5500000000000.33	5500000000000.33	1	1
DHAP[c]	dihydroxyacetone phosphate	0.724412087239004	0.764746960909985	9.35764362643838	9.94074066784843	1.05567945977367	1.06231237955703	12.9987318367631	12.9175696972475
ICI[m]	isocitrate	0.747106559002714	0.827773716931233	0.652425968367341	0.44832688745602	1.10797276098901	0.687168980379387	0.541605608254973	0.873270299270618
NAD[c]	nad+	1.51691471021011	1.86099291786666	18.8739853328768	20.2586542612488	1.22682765572818	1.07336388706205	10.8859383970532	12.4423510470556
NAD[m]	nad+	4.70687055102096	4.99370051333029	7.88446524343671	6.78748380813068	1.06093857037286	0.860867997836734	1.35920922570587	1.67509710708456
NADH[c]	NADH	1.51691471021011	1.86099291786666	18.8739853328768	20.2586542612488	1.22682765572818	1.07336388706205	10.8859383970532	12.4423510470556
NADH[m]	NADH	4.70687055102096	4.99370051333029	7.88446524343671	6.78748380813068	1.06093857037286	0.860867997836734	1.35920922570587	1.67509710708456
NADP[c]	nadp+	0.59517056	0.59517056	2.38068224	2.38068224	1	1	3.99999999999999	3.99999999999999
NADP[m]	nadp+	0.1026775952	0.1026775952	0.4107103808	0.4107103808	1	1	3.99999999999997	3.99999999999997
NADPH[c]	NADPH	0.59517056	0.59517056	2.38068224	2.38068224	1	1	3.99999999999999	3.99999999999999
NADPH[m]	NADPH	0.1026775952	0.1026775952	0.4107103808	0.4107103808	1	1	3.99999999999997	3.99999999999997
O2[c]	O2	2.73904549501184	3.00167449528244	4.31667336590203	3.7974189141189	1.09588340199127	0.8797095800936	1.26510016995083	1.57597724235076
OAA[m]	oxaloacetate	0.747106559002714	0.827773716931217	0.652425968367341	0.448326887456021	1.10797276098898	0.687168980379389	0.541605608254985	0.873270299270617
PI[c]	phosphate	6.90193629677895	7.57514857805644	26.6799747658736	26.7800731389841	1.09753962545144	1.0037518166336	3.53525384525924	3.86557824046055
PEP[c]	phosphoenolpyruvate	1.45604777021011	1.65529264570078	18.6305175728768	19.859306987215	1.13683951829542	1.06595573147829	11.9974598079649	12.7952653436558
PYR[c]	pyruvate	1.34840777021011	1.54765264570077	18.1999575728768	19.428746987215	1.14776307278296	1.06751605927749	12.5536870570965	13.4973692490965
S7P[c]	sedoheptulose 7-phosphate	0.0911265157320998	0.0993764999999992	0.250841999999999	0.28323126365028	1.09053330089074	1.12912217112876	2.85008290340554	2.75267849302436
SUC[m]	succinate	0.732989159002714	0.813656316931233	0.595956368367341	0.39185728745602	1.11005232060768	0.657526806080682	0.481600498025924	0.813049362391914
ubiquinone-6[m]	ubiquinone-6	5.43985971002368	5.96511771056488	8.48042161180405	7.44191270823781	1.09655726958792	0.877540415900936	1.24757181154319	1.55894123449135
ubiquinol-6[m]	ubiquinol-6	5.43985971002368	5.96511771056488	8.48042161180405	7.44191270823781	1.09655726958792	0.877540415900936	1.24757181154319	1.55894123449135
Ferricytochrome_c[m]	ferricytochrome c	10.8797194200474	11.9302354211298	16.9608432236081	14.8838254164756	1.09655726958792	0.877540415900935	1.24757181154319	1.55894123449134
Ferrocytochrome_c[m]	ferrocytochrome c	10.8797194200474	11.9302354211298	16.9608432236081	14.8838254164756	1.09655726958792	0.877540415900935	1.24757181154319	1.55894123449134
H[m]	h+	20.66058717867	22.6555170647255	32.2086412816318	28.2643844658872	1.09655726958792	0.877540415900935	1.24757181154319	1.55894123449134
H[i]	h+	20.66058717867	22.6555170647255	32.2086412816318	28.2643844658872	1.09655726958792	0.877540415900935	1.24757181154319	1.55894123449134
growthProtein[c]	growthProtein	0.414	0.414	1.656	1.656	1	1	3.99999999999999	3.99999999999999
growthRNA[c]	growthRNA	0.01966	0.01966	0.07864	0.07864	1	1	3.99999999999985	3.99999999999985
growthDNA[c]	growthDNA	0.0012	0.0012	0.0048	0.0048	1	1	3.9999999999975	3.9999999999975
growthLipid[c]	growthLipid	0.00269	0.00269	0.01076	0.01076	1	1	3.99999999999888	3.99999999999888
growthGlycogen[c]	growthGlycogen	0.05185	0.05185	0.2074	0.2074	1	1	3.99999999999994	3.99999999999994
growthTrehalose[c]	growthTrehalose	0.00234	0.00234	0.00936	0.00936	1	1	3.99999999999872	3.99999999999872
growthMannan[c]	growthMannan	0.08079	0.08079	0.32316	0.32316	1	1	3.99999999999996	3.99999999999996
growthGlucan[c]	growthGlucan	0.11348	0.11348	0.45392	0.45392	1	1	3.99999999999997	3.99999999999997
growthMaintainance[c]	Maintainance for growth	2.01052631578948	2.01052631578948	8.6	8.6	1	1	4.27748691099476	4.27748691099476
ATP[m]	ATP	5.42539582656884	6.01793837623646	7.96748639299678	6.87725141963697	1.10921646431139	0.863164501376733	1.14279193133545	1.46855393554494
ADP[m]	ADP	5.42539582656884	6.01793837623646	7.96748639299678	6.87725141963697	1.10921646431139	0.863164501376733	1.14279193133545	1.46855393554494
PI[m]	phosphate	5.42539582656884	6.01793837623646	7.96748639299678	6.87725141963697	1.10921646431139	0.863164501376733	1.14279193133545	1.46855393554494
PYR[m]	pyruvate	1.11561914940271	0.982380310573288	2.07003622489379	1.86876544927314	0.880569602179419	0.902769442775826	1.90228308645822	1.85550438606406
