enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.01971	0.019276	0.019038	0.01889	0.01879	0.018718	0.018665	0.018624	0.018591	0.018566	0.018545	0.018528	0.018514	0.018503	0.018493	0.018486	0.018479	0.018474	0.018469	0.018466	0.018463	0.018461	0.018459	0.018458	0.018457	0.018457	0.018457	0.018457	0.018457	0.018458	0.018459	0.01846	0.018461	0.018463	0.018464	0.018466	0.018468	0.018469	0.018471	0.018473	0.018476	0.018478	0.01848	0.018482	0.018485	0.018487	0.01849	0.018492	0.018495	0.018497	0.0185	0.018502	0.018505	0.018508	0.01851	0.018699	0.01884	0.018457	0.017979	0.017542	0.017108	0.016676	0.016247	0.015821	0.015397	0.014975	0.014556	0.01414	0.013726	0.013314	0.012905	0.012499	0.012095	0.011694	0.011295	0.010899	0.010505	0.010114	0.009725	0.009342	0.008978
P00128	Oxidative Phosphorylation	0.016635	0.016268	0.016068	0.015943	0.015858	0.015798	0.015753	0.015718	0.015691	0.015669	0.015652	0.015638	0.015626	0.015616	0.015608	0.015602	0.015596	0.015592	0.015588	0.015585	0.015583	0.015581	0.015579	0.015578	0.015578	0.015577	0.015577	0.015577	0.015578	0.015578	0.015579	0.01558	0.015581	0.015582	0.015584	0.015585	0.015586	0.015588	0.01559	0.015591	0.015593	0.015595	0.015597	0.015599	0.015601	0.015603	0.015605	0.015607	0.015609	0.015612	0.015614	0.015616	0.015618	0.01562	0.015623	0.015782	0.015901	0.015577	0.015174	0.014806	0.014439	0.014075	0.013713	0.013353	0.012995	0.012639	0.012285	0.011934	0.011584	0.011237	0.010892	0.010549	0.010208	0.009869	0.009533	0.009198	0.008866	0.008536	0.008208	0.007885	0.007578
P00163	Oxidative Phosphorylation	0.049861	0.048762	0.048161	0.047787	0.047534	0.047352	0.047217	0.047113	0.047032	0.046967	0.046914	0.046872	0.046837	0.046808	0.046784	0.046764	0.046747	0.046734	0.046723	0.046714	0.046707	0.046701	0.046697	0.046694	0.046692	0.046691	0.046691	0.046691	0.046692	0.046694	0.046696	0.046699	0.046702	0.046706	0.04671	0.046714	0.046718	0.046723	0.046728	0.046733	0.046739	0.046744	0.04675	0.046756	0.046762	0.046768	0.046774	0.04678	0.046787	0.046793	0.0468	0.046807	0.046813	0.04682	0.046827	0.047305	0.04766	0.046691	0.045482	0.044378	0.043279	0.042187	0.041102	0.040023	0.03895	0.037884	0.036824	0.03577	0.034723	0.033682	0.032647	0.031619	0.030598	0.029582	0.028574	0.027571	0.026575	0.025585	0.024602	0.023633	0.022713
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000124	0.000341	0.000556	0.000771	0.000984	0.001195	0.001406	0.001615	0.001823	0.002029	0.002234	0.002438	0.002641	0.002842	0.003042	0.00324	0.003437	0.003633	0.003828	0.004021	0.004213	0.004404	0.00459	0.004756
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.030307	0.035892	0.038914	0.040795	0.042069	0.042981	0.043661	0.044182	0.044591	0.044917	0.045181	0.045396	0.045572	0.045718	0.045838	0.045938	0.046021	0.046089	0.046144	0.046189	0.046225	0.046254	0.046275	0.04629	0.0463	0.046305	0.046306	0.046304	0.046298	0.046289	0.046278	0.046264	0.046248	0.04623	0.046211	0.04619	0.046167	0.046143	0.046118	0.046092	0.046065	0.046037	0.046008	0.045979	0.045948	0.045918	0.045886	0.045855	0.045822	0.04579	0.045757	0.045723	0.045689	0.045655	0.045621	0.045715	0.049432	0.05522	0.062465	0.069717	0.076926	0.084092	0.091217	0.098299	0.105338	0.112336	0.11929	0.126203	0.133073	0.1399	0.146685	0.153428	0.160128	0.166786	0.173402	0.179975	0.186505	0.192993	0.199439	0.205714	0.211339
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.021304	0.020834	0.020578	0.020418	0.020309	0.020232	0.020174	0.02013	0.020095	0.020067	0.020045	0.020027	0.020012	0.019999	0.019989	0.01998	0.019973	0.019968	0.019963	0.019959	0.019956	0.019954	0.019952	0.019951	0.01995	0.019949	0.019949	0.019949	0.01995	0.019951	0.019952	0.019953	0.019954	0.019956	0.019957	0.019959	0.019961	0.019963	0.019965	0.019967	0.01997	0.019972	0.019975	0.019977	0.01998	0.019982	0.019985	0.019988	0.01999	0.019993	0.019996	0.019999	0.020002	0.020005	0.020007	0.020212	0.020364	0.019949	0.019433	0.018961	0.018492	0.018025	0.017561	0.0171	0.016642	0.016186	0.015733	0.015283	0.014836	0.014391	0.013949	0.01351	0.013073	0.01264	0.012208	0.01178	0.011354	0.010932	0.010511	0.010098	0.009704
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.01035	0.010122	0.009998	0.00992	0.009867	0.00983	0.009802	0.00978	0.009763	0.00975	0.009739	0.00973	0.009723	0.009717	0.009712	0.009708	0.009704	0.009701	0.009699	0.009697	0.009696	0.009695	0.009694	0.009693	0.009693	0.009692	0.009692	0.009692	0.009693	0.009693	0.009694	0.009694	0.009695	0.009696	0.009696	0.009697	0.009698	0.009699	0.0097	0.009701	0.009702	0.009703	0.009705	0.009706	0.009707	0.009708	0.00971	0.009711	0.009712	0.009714	0.009715	0.009716	0.009718	0.009719	0.009721	0.00982	0.009894	0.009692	0.009442	0.009212	0.008984	0.008758	0.008532	0.008308	0.008086	0.007864	0.007644	0.007425	0.007208	0.006992	0.006777	0.006564	0.006352	0.006141	0.005931	0.005723	0.005517	0.005311	0.005107	0.004906	0.004715
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.011	0.010758	0.010625	0.010542	0.010487	0.010446	0.010417	0.010394	0.010376	0.010361	0.01035	0.010341	0.010333	0.010326	0.010321	0.010317	0.010313	0.01031	0.010308	0.010306	0.010304	0.010303	0.010302	0.010301	0.010301	0.010301	0.010301	0.010301	0.010301	0.010301	0.010302	0.010302	0.010303	0.010304	0.010305	0.010306	0.010307	0.010308	0.010309	0.01031	0.010311	0.010312	0.010314	0.010315	0.010316	0.010318	0.010319	0.01032	0.010322	0.010323	0.010325	0.010326	0.010328	0.010329	0.010331	0.010436	0.010514	0.010301	0.010034	0.00979	0.009548	0.009307	0.009068	0.00883	0.008593	0.008358	0.008124	0.007891	0.00766	0.007431	0.007202	0.006976	0.00675	0.006526	0.006304	0.006083	0.005863	0.005644	0.005427	0.005214	0.005011
