rxnIDs	subSystems	ECCs	ECCs_reg
HXKNo3	Glycolysis	0.999999999908884	0
CDCNo1	Glycolysis	0.652765158441024	0.652042095119588
PFKNo1	Glycolysis	0.487350707664073	0.481672478939363
PFKNo2	Glycolysis	0.487350707645713	0.481672478872564
CITNo1	TCA	0.296158883684521	0.151548776743489
IDHNo1	TCA	0.296158881884431	0.151548776119237
IDPHNo1	TCA	0.296158881884431	0.151548776119237
PDCNo2	Anaerobic excretion	0.283210280310991	0.246257195306292
GLDNo1	Glycolysis	0.276280897149319	0.238344147236782
GLD_REVNo1	Glycolysis	0.276280897149319	0.238344147236782
SDHNo1	TCA	0.270525547034931	0
SDHNo2	TCA	0.270525547034931	0.133597816043912
KGD1No1	TCA	0.270525546201883	0.133597817463619
LSC2No1	TCA	0.270525546184915	0.133597817473556
ALD6No1	Anaerobic excretion	0.157283358113339	0
FBANo1	Glycolysis	0.142548612361761	0.140228627755673
FBA_REVNo1	Glycolysis	0.142548612361761	0.140228627755673
PYCNo2	TCA	0.123345969638615	0.113599691141509
PDHNo1	Other	0.0560677776393722	0
ENO_REVNo4	Glycolysis	0.0537092694616731	0.04291977896847
ENONo4	Glycolysis	0.0537092694584274	0.0429197789697873
ACSNo2	Other	0.0353865380655202	0.0325155453501776
PGLNo2	pentose phosphate	0.0339930496094278	0.0304065199853303
ZWFNo1	pentose phosphate	0.0339930496086809	0.0328496601606907
GNDNo2	pentose phosphate	0.0331482804261185	0.0296759819286389
PGKNo1	Glycolysis	0.0225972352635683	0.0256139763876808
PGK_REVNo1	Glycolysis	0.0225972352635683	0.0256139763876808
RPINo1	pentose phosphate	0.0157417303578921	0.0152701531570248
RPI_REVNo1	pentose phosphate	0.0157417303578921	0.0152701531570248
GPMNo1	Glycolysis	0.0131390483976753	0.0163940402957105
GPM_REVNo1	Glycolysis	0.0131390483976753	0.0163940402957105
PGINo1	Glycolysis	0.0122546302636489	0.0152592833250215
PGI_REVNo1	Glycolysis	0.0122546302636489	0.0152592833250215
ADH1No2	Anaerobic excretion	0.00867914851042876	0.00873825787148068
ADH1_REVNo2	Anaerobic excretion	0.00867914851042876	0.00873825787148068
TKLaNo2	pentose phosphate	0.00611967441003528	0.0061519127846491
TKLa_REVNo2	pentose phosphate	0.00611967441003528	0.0061519127846491
TKLbNo2	pentose phosphate	0.00611967441003528	0.0061519127846491
TKLb_REVNo2	pentose phosphate	0.00611967441003528	0.0061519127846491
ACONo1	TCA	0.00599156573022612	0.0073174406863037
ACO_REVNo1	TCA	0.00599156573022612	0.0073174406863037
TAL1No1	pentose phosphate	0.00389874453911095	0.00570951551622177
TAL1_REVNo1	pentose phosphate	0.00389874453911095	0.00570951551622177
MDH1No1	TCA	0.00168340517734127	0
MDH1_REVNo1	TCA	0.00168340517734127	0
ADK1_1No1	Salvage pathways	0.00134424582607197	0.00124951762577491
ADK1_1_REVNo1	Salvage pathways	0.0013442458258981	0.00124951762577847
RPENo1	pentose phosphate	0.00130893034488482	0.00131582454693789
RPE_REVNo1	pentose phosphate	0.00130893034488482	0.00131582454693789
FUM1No1	TCA	0.000458457189193862	0
FUM1_REVNo1	TCA	0.000458457189193862	0
TPINo1	Glycolysis	0.000431771437088927	0.00432368057458583
TPI_REVNo1	Glycolysis	0.000431771437088927	0.00432368057458583
ALD2No1	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0.00188961441866963
ALD2No3	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0.00105603398677576
COX1No5	Oxidative Phosphorylation	0	0.00359528777479607
DARNo1	Anaerobic excretion	0	0.0016869841869002
ENONo2	Glycolysis	0	0.00391964971055859
ENONo3	Glycolysis	0	0.00391964971108348
ENONo5	Glycolysis	0	2.17002232078199e-06
ENO_REVNo2	Glycolysis	0	0.00391964971055859
ENO_REVNo3	Glycolysis	0	0.00391964971108348
ENO_REVNo5	Glycolysis	0	2.17002232063651e-06
GAL7bNo1	Galactose metabolism	0	0.00391964971100628
GAL7b_REVNo1	Galactose metabolism	0	0.00391964971100628
GLDNo2	Glycolysis	0	2.32336740937117e-06
GLDNo3	Glycolysis	0	7.03076188462919e-05
GLD_REVNo2	Glycolysis	0	2.32336740937117e-06
GLD_REVNo3	Glycolysis	0	7.03076188462919e-05
GNDNo1	pentose phosphate	0	8.55466814458924e-06
GPPNo2	Anaerobic excretion	0	0.00168835040962428
HXKNo1	Glycolysis	0	0.00391964986910372
HXKNo2	Glycolysis	0	5.1303713448897e-05
HXKNo4	Glycolysis	0	0.00196921235191296
PDCNo1	Anaerobic excretion	0	1.87320807181256e-05
PDCNo3	Anaerobic excretion	0	9.19087672299742e-05
PGLNo1	pentose phosphate	0	5.52499830451304e-05
