rxns	rxnNames	netFlux	ratio	futileFlux	netFlux_reg	ratio_reg	futileFlux_reg
ACO	Aconitate hydratase, mitochondrial	0.65242596836734	1.5327409522071e-15	9.99200722162641e-16	0.476732746725136	0.29955774217931	0.203884022754779
ACS	acetyl-CoA synthetase	0.197984	0	0	0.197984	0	0
ADH1	alcohol dehydrogenase, (acetaldehyde to ethanol)	14.4053423821094	6.94186901966275e-17	1.77635683940025e-15	15.5970092833026	6.41148557288192e-17	1.77635683940025e-15
ADK1_1	adenylate kinase	0.19798399999999	5.05091320510771e-15	9.99200722162641e-16	0.197983999999999	5.05091320510748e-15	9.99200722162641e-16
ALD2	acetaldehyde dehydrogenase	1e-15	0	0	0.0936072818087271	0	0
ALD6	aldehyde dehydrogenase (acetaldehyde, NADP)	0.879984	0	0	0.786376718191273	0	0
ATP1	ATP synthase	7.37155951955589	0	0	6.53952906164716	0	0
ATPTransport	ADP,ATP carrier protein 1	7.96748639299678	1.25510098251184e-16	8.88178419700125e-16	6.95976080989215	1.4368309878964e-16	8.88178419700125e-16
ATPTransportRev	ADP,ATP carrier protein 1	1e-15	0	0	1e-15	0	0
ATPX	ATP hydrolysis	0.7	0	0	0.7	0	0
CAT2	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	0	1	1e-15	0	1	1e-15
CAT2Rev	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	1e-15	0	0	1e-15	0	0
CDC	Pyruvate kinase	18.1999575728768	0	0	19.2159312524277	0	0
CIT	citrate synthase	0.652425968367342	0	0	0.476732746725136	0	0
CO2TRANS	CO2 transport	2.64101081017557	3.78642902992707e-16	8.88178419700125e-16	2.11392924169527	4.73052730562565e-16	8.88178419700125e-16
COX1	ferrocytochrome-c:oxygen oxidoreductase	16.9608432236081	0	0	15.0232391275191	0	0
DAR	glycerol-3-phosphate dehydrogenase (NAD)	1e-15	0	0	0.00825	0	0
ENO	Enolase	18.6305175728768	5.36753740784876e-17	0	19.6464912524277	5.08996740003857e-17	0
FBA	Fructose-bisphosphate aldolase	9.35764362643838	1.06864509904467e-16	1.77635683940025e-15	9.86195485939647	1.01399774614381e-16	1.77635683940025e-15
FBP	fructose-bisphosphatase	1e-15	0	0	1e-15	0	0
FUM1	fumarase	0.59595636836734	1.67797518925683e-15	9.99200722162641e-16	0.420263146725135	2.37946155353476e-15	9.99200722162641e-16
GAL1	Galactokinase	1e-15	0	0	1e-15	0	0
GAL7b	Galactose-1-phosphate uridylyltransferase	0	1	1e-15	0	1	0.119865864750324
GAL10	UDPglucose 4-epimerase	0	1	1e-15	0	1	1e-15
GLD	glyceraldehyde-3-phosphate dehydrogenase	18.7124883728768	5.34402469662704e-17	0	19.7284620524277	5.06881883312817e-17	0
GND	phosphogluconate dehydrogenase	0.74090824	0	0	0.787711880904364	0	0
GPM	Phosphoglycerate mutase	18.6305175728768	5.36753740784876e-17	0	19.6464912524277	0.112542044458405	2.49144906322129
GPP	glycerol-3-phosphatase	1e-15	0	0	0.00825	0	0
GROWTH	Growth	0.4	0	0	0.4	0	0
H2OIN	Uptake of f H2O	0	1	1e-15	0	1	1e-15
H2O_Out	Production of H2O	19.906733906702	0	0	19.4182078826798	0	0
H2Otransport	Transport of H2O, mitochondrial	14.6035692996988	6.84764100801456e-17	1.77635683940025e-15	13.1541213334763	7.60218014300257e-17	1.77635683940025e-15
HDECOUP	Hdecoupling	1e-15	0	0	1e-15	0	0
HXK	hexokinase (D-glucose:ATP)	10.7398045464384	0	0	11.2597169930313	0	0
ICL1	Isocitrate lyase	2.94949264499034e-05	0	0	3.13984801416707e-05	0	0
IDH	Isocitrate dehydrogenase (NAD+)	0.241686092640892	0	0	0.0659909674449947	0	0
IDPH	isocitrate dehydrogenase (NADP)	0.4107103808	0	0	0.4107103808	0	0
KGD1	oxoglutarate dehydrogenase	0.595926873440892	0	0	0.420231748244995	0	0
LSC2	succinate-CoA ligase (ADP-forming)	0.595926873440892	0	0	0.420231748244995	0	0
MDH1	Malate dehydrogenase	0.59598586329379	1.6778921474301e-15	9.99200722162641e-16	0.420294545205277	2.37928379372991e-15	9.99200722162641e-16
MLS1	malate synthase	2.94949264499034e-05	0	0	3.13984801416707e-05	0	0
NCE	CO2 dissociation	0.789594965873549	1.26647210686516e-15	9.99200722162641e-16	0.789593062319858	1.26647516008051e-15	9.99200722162641e-16
NDE2	NADH dehydrogenase, cytosolic/mitochondrial	1e-15	0	0	1e-15	0	0
NDI1	NADH:ubiquinone oxidoreductase	7.88446524343671	0	0	7.09135641703441	0	0
OAC1	Mitochondrial oxaloacetate transport protein	0.0564401050735492	1.77178975605528e-14	9.99200722162641e-16	0.0564382015198578	1.77184951516949e-14	9.99200722162641e-16
OAC1Rev	Mitochondrial oxaloacetate transport protein	1e-15	0	0	1e-15	0	0
PCK	Phosphoenolpyruvate carboxykinase	1e-15	0	0	1e-15	0	0
PDC	Pyruvate decarboxylase	15.2853263821094	0	0	16.4769932833026	0	0
PDH	pyruvate dehydrogenase	1.39268746329379	0	0	1.21699614520528	0	0
PFK	Phosphofructokinase	9.35764362643838	0	0	9.86195485939647	0	0
PGI	Glucose-6-phosphate isomerase	9.29785482643838	1.07551690004506e-16	1.77635683940025e-15	9.77096363212688	0.113741183127931	1.25399143304492
PGK	Phosphoglycerate kinase	18.6305175728768	5.36753740784876e-17	0	19.6464912524277	0.0593745526524566	1.24013403272546
PGL	6-phosphogluconolactonase	0.75979	0	0	0.806593640904364	0	0
PGM1_2	phosphoglucomutase	0	1	1e-15	0	1	1e-15
PIIn	Uptake of Phosphate	0.0908054000000043	0	0	0.0908054000000078	0	0
PIOut	Production of Phosphate	0	1	1e-15	0	1	1e-15
PYC	pyruvate carboxylase	0.78959496587355	0	0	0.789593062319859	0	0
PyrOut	Pyruvate production	0.055	0	0	0.055	0	0
PyrTrans	Transport of pyruvate, mitochondrial	2.07003622489379	4.83083333506064e-16	8.88178419700125e-16	1.89434490680528	5.27886973701347e-16	1.11022302462516e-15
PyrTransRev	Transport of pyruvate, mitochondrial	1e-15	0	0	1e-15	0	0
RIP1	ubiquinol:ferricytochrome c reductase	8.48042161180405	0	0	7.51161956375955	0	0
RPE	ribulose 5-phosphate 3-epimerase	0.382948799999999	2.61131514186753e-15	9.99200722162641e-16	0.414151227269574	2.41457693266496e-15	9.99200722162641e-16
RPI	ribose-5-phosphate isomerase	0.357959439999999	2.79361259476772e-15	9.99200722162641e-16	0.373560653634787	2.67694145587841e-15	9.99200722162641e-16
SDH	Succinate dehydrogenase	0.595956368367341	0	0	0.420263146725136	0	0
ShuttleX	NAD(H) shuttle	4.46864295076734	2.23781584480426e-16	8.88178419700125e-16	4.37830701093387	2.28398784622165e-16	8.88178419700125e-16
ShuttleXRev	NAD(H) shuttle	1e-15	0	0	1e-15	0	0
TAL1	Transaldolase	0.250841999999999	3.98657322139036e-15	9.99200722162641e-16	0.266443213634787	0.194595176317657	0.0643757804911707
TKLa	transketolase 1	0.250841999999999	3.98657322139036e-15	9.99200722162641e-16	0.266443213634787	3.7531449435627e-15	9.99200722162641e-16
TKLb	transketolase 2	0.132106799999999	7.56963305446805e-15	9.99200722162641e-16	0.147708013634787	6.77011338377704e-15	9.99200722162641e-16
TPI	triose-phosphate isomerase	9.34776594643838	1.06977432439995e-16	1.77635683940025e-15	9.8438271793964	0.821825870252127	45.4045256164107
VGro_DNA	DNA synthesis for growth	0.0048	0	0	0.0048	0	0
VGro_GLUCAN	Glucan synthesis for growth	0.45392	0	0	0.45392	0	0
VGro_GLYCOGEN	Glycogen synthesis for growth	0.2074	0	0	0.2074	0	0
VGro_LIPID	Lipid synthesis for growth	0.01076	0	0	0.01076	0	0
VGro_MAINTAIN	GAM	10	0	0	10	0	0
VGro_MANNAN	Mannan synthesis for growth	0.32316	0	0	0.32316	0	0
VGro_PROT	Protein synthesis for growth	1.656	0	0	1.656	0	0
VGro_RNA	RNA synthesis for growth	0.07864	0	0	0.07864	0	0
VGro_TREHALOSE	Trehalose synthesis for growth	0.00936	0	0	0.00936	0	0
ZWF	glucose 6-phosphate dehydrogenase	0.75979	0	0	0.806593640904364	0	0
acIN	Uptake of acetate	0	1	1e-15	0	1	1e-15
acOUT	Production of acetate	0.682	0	0	0.682	0	0
biomassOUT	Production of biomass	0.399999999999999	2.5e-15	9.99200722162641e-16	0.399999999999999	2.5e-15	9.99200722162641e-16
co2OUT	Production of CO2	18.9409624664114	5.27956275597574e-17	0	19.6523533435823	5.0884491160778e-17	0
ethIN	Uptake of ethanol	0	1	1e-15	0	1	1e-15
ethOUT	Production of ethanol	14.4053423821094	0	0	15.5970092833026	0	0
galIN	Uptake of galactose	0	1	1e-15	0	1	1e-15
glcIN	Uptake of glucose	10.7398045464383	9.31115641514757e-17	1.77635683940025e-15	11.2597169930313	8.88121789045769e-17	1.77635683940025e-15
gluActiveIn	Active uptake of glucose	1e-15	0	0	1e-15	0	0
glyOUT	Production of glycerol	0	1	1e-15	0.008249999999999	1.21212121212121e-13	9.99200722162641e-16
o2IN	Uptake of O2	4.31667336590203	2.31659872136523e-16	8.88178419700125e-16	3.83227234187977	2.60941788784638e-16	8.88178419700125e-16
