rxns	rxnNames	netFlux	ratio	futileFlux	netFlux_reg	ratio_reg	futileFlux_reg
ACO	Aconitate hydratase, mitochondrial	0.65242596836734	1.5327409522071e-15	9.99200722162641e-16	0.585263779499333	1.70863127879783e-15	9.99200722162641e-16
ACS	acetyl-CoA synthetase	0.197984	0	0	0.197984	0	0
ADH1	alcohol dehydrogenase, (acetaldehyde to ethanol)	14.4053423821094	6.94186901966275e-17	1.77635683940025e-15	14.9334422849172	6.69637971554624e-17	1.77635683940025e-15
ADK1_1	adenylate kinase	0.19798399999999	5.05091320510771e-15	9.99200722162641e-16	0.197983999999999	5.05091320510748e-15	9.99200722162641e-16
ALD2	acetaldehyde dehydrogenase	1e-15	0	0	0.0518555483851733	0	0
ALD6	aldehyde dehydrogenase (acetaldehyde, NADP)	0.879984	0	0	0.828128451614827	0	0
ATP1	ATP synthase	7.37155951955589	0	0	7.07246067288536	0	0
ATPTransport	ADP,ATP carrier protein 1	7.96748639299678	1.25510098251184e-16	8.88178419700125e-16	7.59840053471911	1.31606644770927e-16	8.88178419700125e-16
ATPTransportRev	ADP,ATP carrier protein 1	1e-15	0	0	1e-15	0	0
ATPX	ATP hydrolysis	0.7	0	0	0.7	0	0
CAT2	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	0	1	1e-15	0	1	1e-15
CAT2Rev	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	1e-15	0	0	1e-15	0	0
CDC	Pyruvate kinase	18.1999575728768	0	0	18.6993513546844	0	0
CIT	citrate synthase	0.652425968367342	0	0	0.585263779499333	0	0
CO2TRANS	CO2 transport	2.64101081017557	3.78642902992707e-16	8.88178419700125e-16	2.43669942083241	4.10391200264818e-16	8.88178419700125e-16
COX1	ferrocytochrome-c:oxygen oxidoreductase	16.9608432236081	0	0	16.2586080539624	0	0
DAR	glycerol-3-phosphate dehydrogenase (NAD)	1e-15	0	0	1e-15	0	0
ENO	Enolase	18.6305175728768	5.36753740784876e-17	0	19.0914552868165	5.23794537910656e-17	0
FBA	Fructose-bisphosphate aldolase	9.35764362643838	1.06864509904467e-16	1.77635683940025e-15	9.58379118770951	1.04342840992031e-16	1.77635683940025e-15
FBP	fructose-bisphosphatase	1e-15	0	0	0.0562206105333695	0	0
FUM1	fumarase	0.59595636836734	1.67797518925683e-15	9.99200722162641e-16	0.52879417949934	0.834212893358205	2.66080355346471
GAL1	Galactokinase	1e-15	0	0	1e-15	0	0
GAL7b	Galactose-1-phosphate uridylyltransferase	0	1	1e-15	0	1	1e-15
GAL10	UDPglucose 4-epimerase	0	1	1e-15	0	1	1e-15
GLD	glyceraldehyde-3-phosphate dehydrogenase	18.7124883728768	5.34402469662704e-17	0	19.1734260868165	5.21555195963434e-17	0
GND	phosphogluconate dehydrogenase	0.74090824	0	0	0.766836014192587	0	0
GPM	Phosphoglycerate mutase	18.6305175728768	5.36753740784876e-17	0	19.0914552868165	5.23794537910656e-17	0
GPP	glycerol-3-phosphatase	1e-15	0	0	1e-15	0	0
GROWTH	Growth	0.4	0	0	0.4	0	0
H2OIN	Uptake of f H2O	0	1	1e-15	0	1	1e-15
H2O_Out	Production of H2O	19.906733906702	0	0	19.7311751142906	0	0
H2Otransport	Transport of H2O, mitochondrial	14.6035692996988	6.84764100801456e-17	1.77635683940025e-15	14.0848524232023	7.09982589773307e-17	1.77635683940025e-15
HDECOUP	Hdecoupling	1e-15	0	0	1e-15	0	0
HXK	hexokinase (D-glucose:ATP)	10.7398045464384	0	0	10.974594699107	0	0
ICL1	Isocitrate lyase	2.94949264499034e-05	0	0	0.00285431766558597	0	0
IDH	Isocitrate dehydrogenase (NAD+)	0.241686092640892	0	0	0.171699081033748	0	0
IDPH	isocitrate dehydrogenase (NADP)	0.4107103808	0	0	0.4107103808	0	0
KGD1	oxoglutarate dehydrogenase	0.595926873440892	0	0	0.525939861833748	0	0
LSC2	succinate-CoA ligase (ADP-forming)	0.595926873440892	0	0	0.525939861833748	0	0
MDH1	Malate dehydrogenase	0.59598586329379	1.6778921474301e-15	9.99200722162641e-16	0.531648497164918	1.8809420234095e-15	9.99200722162641e-16
MLS1	malate synthase	2.94949264499034e-05	0	0	0.00285431766558597	0	0
NCE	CO2 dissociation	0.789594965873549	1.26647210686516e-15	9.99200722162641e-16	0.825226211002275	1.21178894546436e-15	9.99200722162641e-16
NDE2	NADH dehydrogenase, cytosolic/mitochondrial	1e-15	0	0	1e-15	0	0
NDI1	NADH:ubiquinone oxidoreductase	7.88446524343671	0	0	7.60050984748184	0	0
OAC1	Mitochondrial oxaloacetate transport protein	0.0564401050735492	1.77178975605528e-14	9.99200722162641e-16	0.0536152823344131	1.86513985651089e-14	9.99200722162641e-16
OAC1Rev	Mitochondrial oxaloacetate transport protein	1e-15	0	0	1e-15	0	0
PCK	Phosphoenolpyruvate carboxykinase	1e-15	0	0	0.0384560678678614	0	0
PDC	Pyruvate decarboxylase	15.2853263821094	0	0	15.8134262849172	0	0
PDH	pyruvate dehydrogenase	1.39268746329379	0	0	1.32835009716492	0	0
PFK	Phosphofructokinase	9.35764362643838	0	0	9.64001179824288	0	0
PGI	Glucose-6-phosphate isomerase	9.29785482643838	1.07551690004506e-16	1.77635683940025e-15	9.50671720491445	1.05188781620963e-16	1.77635683940025e-15
PGK	Phosphoglycerate kinase	18.6305175728768	5.36753740784876e-17	0	19.0914552868166	0.0736398715997841	1.51765201553105
PGL	6-phosphogluconolactonase	0.75979	0	0	0.785717774192586	0	0
PGM1_2	phosphoglucomutase	0	1	1e-15	0	1	1e-15
PIIn	Uptake of Phosphate	0.0908054000000043	0	0	0.0908054000000007	0	0
PIOut	Production of Phosphate	0	1	1e-15	0	1	1e-15
PYC	pyruvate carboxylase	0.78959496587355	0	0	0.825226211002276	0	0
PyrOut	Pyruvate production	0.055	0	0	0.055	0	0
PyrTrans	Transport of pyruvate, mitochondrial	2.07003622489379	4.83083333506064e-16	8.88178419700125e-16	2.00569885876492	4.98579333397929e-16	8.88178419700125e-16
PyrTransRev	Transport of pyruvate, mitochondrial	1e-15	0	0	1e-15	0	0
RIP1	ubiquinol:ferricytochrome c reductase	8.48042161180405	0	0	8.12930402698118	0	0
RPE	ribulose 5-phosphate 3-epimerase	0.382948799999999	2.61131514186753e-15	9.99200722162641e-16	0.400233982795057	2.49853846246748e-15	9.99200722162641e-16
RPI	ribose-5-phosphate isomerase	0.357959439999999	2.79361259476772e-15	9.99200722162641e-16	0.366602031397528	2.72775357023496e-15	9.99200722162641e-16
SDH	Succinate dehydrogenase	0.595956368367341	0	0	0.528794179499336	0	0
ShuttleX	NAD(H) shuttle	4.46864295076734	2.23781584480426e-16	8.88178419700125e-16	4.45333631028451	2.24550748096569e-16	8.88178419700125e-16
ShuttleXRev	NAD(H) shuttle	1e-15	0	0	1e-15	0	0
