input,output,evidence,type
glucose(low),ADR1(up_strong) + CAT8(up_strong), western_blot,expression
glucose(low) + GCR2(ko),ADR1(down_medium) + HXT1(up_weak) + HXT7(down_medium) + MIG1(down_weak) + HXT2(down_medium) + HAP4(down_weak) + DAL7(down_weak) + CAT8(down_medium) + ENO1(down_weak) + MDH2(up_weak) + GLK1(up_weak) + GPM1(down_weak), microarray,expression
MIG1(ko) + glucose,CAT8(up_strong), lacZ,expression
ethanol + CAT5(ko),CAT8(down_strong), lacZ,expression
glucose + MIG2,CAT8(down), author-statement,expression
ethanol,CAT8(up_strong), northern_blot,expression
glucose(low),CAT8(up), northern_blot,expression
glucose,CAT8(down_strong) + FBP1(down_strong), lacZ,expression
ethanol + SNF4(ko),CAT8(down_strong) + FBP1(down_strong), lacZ,expression
cAMP + ethanol,CAT8(down_strong) + GLK1(down_medium) + SIP4(down_strong), lacZ,expression
ethanol,CAT8(up_strong), lacZ,expression
ABF1 + HAP2/3/4/5 + MIG1,CAT8, consensus,tfbinding
glucose,CAT8(down_strong) + FBP1(down_strong) + SIP4(down_strong), lacZ,expression
glucose,CAT8(down_strong), lacZ,expression
MIG1 + glucose,CAT8(down_strong), author-statement,expression
glucose,CAT8(down_strong) + FBP1(down_strong) + PCK1(down_strong)," lacZ ,  western_blot ,  northern_blot",expression
ethanol,CAT8(up_strong) + FBP1(up_strong), lacZ,expression
REB1,CAT8 + SDH1 + HAP2, ChIP-chip,tfbinding
glucose,CAT8(down_strong), northern_blot,expression
