input,output,evidence,type
glucose,ACO1(down_strong) + HXK2(down_strong) + SIP4(down_strong) + SDH1(down_strong) + SDH4(down_strong), RT-PCR,expression
GCN4,ACO2 + PYC2 + SIP4, ChIP-chip,tfbinding
cAMP + ethanol,CAT8(down_strong) + GLK1(down_medium) + SIP4(down_strong), lacZ,expression
glucose,CAT8(down_strong) + FBP1(down_strong) + SIP4(down_strong), lacZ,expression
rapamycin + GLN3(ko) + GCN4(ko),CIT2(up_medium) + SIP4(down_weak) + CAT2(down_weak) + PDC6(down_medium) + HXT1(up_medium) + CRC1(down_medium) + CTA1(down_weak) + YAT1(down_medium) + CIT3(down_medium) + ACS1(down_weak) + MLS1(down_medium) + YAT2(down_medium) + DAL7(down_medium) + ICL1(down_strong), microarray,expression
rapamycin + GLN3(ko),CIT2(up_medium) + CRC1(down_medium) + CTA1(down_medium) + YAT2(down_weak) + POX1(down_medium) + MLS1(down_weak) + DAL7(down_medium) + PDC6(down_medium) + HXT5(up_medium) + SIP4(down_weak) + ICL1(down_medium) + YAT1(down_weak) + CAT2(down_medium), microarray,expression
CAT8(ko) + ethanol + glycerol,CSRE(down_strong) + SIP4(down_strong), lacZ,expression
glucose,CSRE(down_strong) + SIP4(down_strong), lacZ,expression
ethanol + glycerol,CSRE(up_strong) + SIP4(up_strong), lacZ,expression
GCN2(ko) + rapamycin,CTA1(down_weak) + YAT1(down_medium) + YAT2(down_medium) + ICL1(down_medium) + SIP4(down_medium) + CAT2(down_weak) + POX1(down_weak), microarray,expression
NaCl,CTA1(up_medium) + CAT2(up_medium) + CIT1(up_medium) + PYC1(up_medium) + HXT5(up_strong) + IDH1(up_medium) + STL1(up_strong) + HXT1(up_strong) + GUT2(up_strong) + SDH1(up_medium) + ACO1(up_medium) + MAE1(down_strong) + GLK1(up_strong) + ACO2(down_strong) + YJL045W(up_medium) + REG2(up_medium) + GUT1(down_medium) + IDH2(up_medium) + HXK1(up_medium) + HXT2(down_medium) + FAA4(down_medium) + CYB2(up_medium) + PDC6(up_strong) + POX1(up_medium) + CRC1(up_medium) + SIP4(up_medium), microarray,expression
lactate + glycerol + GCR2(ko),ENO1(down_strong) + SIP4(up_weak) + ENO2(down_strong) + GPM1(down_strong), RT-PCR,expression
heat_shock,ENO2(up) + CYB2(up) + SIP4(up) + TYE7(up) + PGK1(up) + HXT5(up) + HXK1(up) + SDH3(up), microarray,expression
glucose + GCR2(ko),ENO2(down_strong) + SDH1(up_strong) + ENO1(down_strong) + HAP5(up_medium) + SDH4(up_strong) + SIP4(up_medium) + GPM1(down_strong) + ACO1(up_strong), RT-PCR,expression
RAP1,FBA1 + GPM1 + HXT5 + ACS1 + PGI1 + SIP4 + TDH3 + HAP5 + PFK27 + PDC1 + CRC1 + FAA1, ChIP-chip,tfbinding
glycerol + ethanol,FBP1(up_strong) + CAT8(up_strong) + SIP4(up_strong), lacZ,expression
glucose(low),FBP1(down_strong) + CAT8(down_strong) + SIP4(down_strong), lacZ,expression
HU,GLK1(up_medium) + PFK26(up_medium) + SPS19(up_medium) + HXT1(up_medium) + SIP4(up_medium) + CTA1(down_weak) + HAP4(up_medium) + HXT3(up_medium) + IDH2(up_medium), microarray,expression
glucose(low),GUT2(up) + FAA2(up) + PFK27(down) + TDH3(down) + SPS19(up) + CAT2(up) + SIP2(up) + MDH2(up) + TES1(up) + PEX1(up) + ECI1(up) + ADR1(up) + FOX2(up) + ICL2(up) + STL1(up) + GUT1(up) + MIG2(down) + SIP4(up) + DCI1(up) + HXK1(up) + PFK26(up) + CAT8(up) + HXT4(down) + IDP3(up) + ACS1(up) + CYB2(up) + CRC1(up) + MSN4(down) + HXT2(up) + PXA1(up) + ICL1(up), microarray,expression
RAP1,HAP1 + OAF1 + TDH3 + CRC1 + TYE7 + HSF1 + RAP1 + PFK27 + ENO1 + ENO2 + ADH1 + GCN4 + HXT5 + GPM2 + SIP4 + CAT5 + ADH3 + CDC19 + PGI1 + PDC1 + HAP3 + GPM1 + SNF4 + TDH2 + PEX6, ChIP-chip,tfbinding
RDS2,HAP4 + PCK1 + OPI1 + SIP4 + GID8 + FBP1 + PFK27 + LSC2, review,tfbinding
RAP1 + glucose,HXT1 + FBA1 + ENO1 + SIP4 + HAP1 + YAT1 + PGK1 + GUT1 + TDH3 + GLK1 + MAE1 + PDC1 + YJL045W + PGI1 + OAF1 + HXT5 + FAA1 + DLD1 + TPI1 + GID8 + PFK27 + CRC1 + HAP5 + GPM1 + IDP2, ChIP-chip,tfbinding
rapamycin,HXT1(down_medium) + PDC6(up_strong) + HAP5(up_medium) + CTA1(up_medium) + SIP4(up_strong) + ICL1(up_medium) + PYC1(up_medium) + CIT3(up_strong) + HXT5(up_medium) + CAT8(up_medium) + IDP2(up_medium) + ECI1(up_medium) + FBP1(up_medium) + DAL7(up_strong) + PCK1(up_medium) + CRC1(up_strong) + GSM1(up_medium) + JEN1(up_medium) + ACS1(up_medium) + PIP2(up_medium) + CYB2(up_medium) + MLS1(up_strong) + YJL045W(up_medium) + POX1(up_medium) + SDH3(up_medium) + CAT2(up_strong) + CIT2(up_medium) + IDP3(up_medium) + PXA2(up_medium) + POT1(up_medium) + YAT1(up_strong) + YAT2(up_strong) + CIT1(up_medium) + MDH2(up_medium) + PEX11(up_medium) + GID8(up_medium), microarray,expression
RAP1(ko) + glucose,HXT2(down_strong) + SIP4(up_medium) + IDP2(up_medium) + ECI1(up_medium) + CYB2(up_medium) + PGI1(down_medium) + PGK1(down_medium) + HXK2(down_medium) + CIT2(down_medium) + HAP4(up_medium) + ENO1(down_strong), microarray,expression
sorbac,HXT6(up_weak) + CRC1(down_weak) + HXT7(up_weak) + REG2(down_weak) + ADH3(down) + TDH1(up) + IDH2(up_weak) + ENO2(down) + SDH3(up_weak) + GCN4(up_weak) + PCK1(down_medium) + STL1(up_weak) + TDH2(up_weak) + SIP4(down_weak) + SFC1(down_weak) + FBA1(up_weak) + HAP1(up_weak)," proteomics ,  High-throughput mRNA expression evidence",expression
nfcs + CAT8,IDP2(up) + MLS1(up) + ACS1(up) + SFC1(up) + PCK1(up) + ICL1(up) + JEN1(up) + FBP1(up) + SIP4(up), author-statement,expression
